,topic,topic_name
0,0,Topic 0: bill party congress amendment minister power lok_sabha opposition rajya_sabha parliament house question mp pass leader issue money_bill election introduce state
1,1,Topic 1: scheme beneficiary pension worker benefit payment bank_account nrega account launch cash_transfer wage poor state system work direct_benefit_transfer aadhaar_number subsidy family
2,2,Topic 2: food ration_card system card state price beneficiary bill ration foodgrains supply family public_distribution public cpi shop food_security rice centre household
3,3,Topic 3: student school college education department teacher state camp university child scholarship programme class special principal engineering study national development private
4,4,Topic 4: sector budget tax increase growth fund investment business fiscal provide propose high financial rate service india finance infrastructure market company
5,5,Topic 5: farmer scheme loan land subsidy housing bank crop agriculture state farm release state_government amount benefit house eligible account area relief
6,6,Topic 6: district state meeting programme minister complete department direct issue chief_minister various collector seed officer implement andhra_pradesh centre ensure office state_government
7,7,Topic 7: road railway vehicle bus train traffic passenger authority near city ticket airport car transport driver express service travel drive shop
8,8,Topic 8: document passport certificate application submit issue applicant apply office employee online copy pensioner form require officer detail employer pension proof
9,9,Topic 9: uidai enrolment project enrol data biometric uid unique_identification_authority_india resident state population identity issue card number direct post_office india process agency
10,10,Topic 10: supreme_court mandatory court order privacy petition bench issue benefit case right_privacy justice right person direct file insist law authority centre
11,11,Topic 11: candidate conduct job survey final sport boy mumbai woman event result match employment telangana examination second test organise district recruitment
12,12,Topic 12: centre card district camp resident registration office corporation enrolment register issue ward city akshaya enrol collector collect public person form
13,13,Topic 13: consumer lpg subsidy link cylinder bank_account district bank aadhaar_number scheme customer direct_benefit_transfer gas petroleum oil_company gas_agency supply receive distributor lpg_cylinder
14,14,Topic 14: police case arrest found person document officer accuse complaint house report woman victim allege crime city fake incident several alleged
15,15,Topic 15: indian world film india news social_medium web part feature culture state public language community image information create online medium festival
16,16,Topic 16: child village work health woman person family hospital help patient social parent disability job group medical member like ngo worker
17,17,Topic 17: india country indian technology world system work economy help million well poor modi change big national development good global initiative
18,18,Topic 18: delhi award india chief_minister national march president launch prime_minister supreme_court gujarat centre union woman case state high_court assembly kerala present
19,19,Topic 19: city area nagar water resident colony street road house waste power corporation issue work association member authority problem action building
20,20,Topic 20: act tax property pan return income_tax section transaction land rent owner provision amount indian registration security change allow law ensure
21,21,Topic 21: digital service mobile company user internet system customer offer cable cost transaction technology platform device provide computer mobile_phone pay access
22,22,Topic 22: bank account customer banking note payment cash branch atm transaction bank_account deposit money open rbi currency insurance exchange demonetisation machine
23,23,Topic 23: voter election vote constituency electoral_roll assembly booth epic exercise election_commission officer polling voter_list state polling_station campaign number poll voting electoral
24,24,Topic 24: like well right problem change work reason good become fact old money due start back left end great full different
25,25,Topic 25: data detail link department number aadhaar_number register online database information website registration process direct senior launch service include portal help
26,26,Topic 26: committee report issue ministry act state concern member national group include commission proposal minister decision meeting benefit public chairman note
