,topic,topic_name
0,0,Topic 0: woman film final team news sport event feature india boy image result music girl direct city programme top national best
1,1,Topic 1: voter election vote constituency candidate electoral_roll party assembly epic booth election_commission polling voter_list officer polling_station address number poll political_party electoral
2,2,Topic 2: village child work family home like woman mother house open district parent back start visit brother old left worker food
3,3,Topic 3: bank account customer payment banking transaction branch cash atm bank_account money deposit rbi open machine facility opening financial_inclusion demonetisation digital_transaction
4,4,Topic 4: student school child education teacher scholarship class parent college department state principal study mandatory admission private number educational aid ensure
5,5,Topic 5: centre camp district resident card office registration corporation ward public collector enrolment register akshaya issue special enrol city release district_administration
6,6,Topic 6: uidai enrolment project unique_identification_authority_india uid resident biometric enrol data agency npr process authority number direct state card identity aadhaar_number issue
7,7,Topic 7: supreme_court court order privacy mandatory bench petition issue direct justice right_privacy benefit case person right law authority state file public
8,8,Topic 8: india indian like country right world work become problem social think fact public poor part great change society mean different
9,9,Topic 9: act tax property pan section income_tax return department transaction rent registration land mandatory provision amount aadhaar_number housing etc law pay
10,10,Topic 10: consumer lpg subsidy link bank_account cylinder district aadhaar_number bank customer direct_benefit_transfer scheme supply gas petroleum oil_company price gas_agency distributor lpg_cylinder
11,11,Topic 11: scheme beneficiary pension worker payment bank_account nrega benefit account wage cash_transfer work system direct_benefit_transfer labour subsidy welfare scholarship cash poor
12,12,Topic 12: district state meeting complete programme minister direct issue department various andhra_pradesh chief_minister seed state_government implement collector implementation centre scheme officer
13,13,Topic 13: document passport certificate application submit online detail applicant issue employee office form copy centre process register apply verification number require
14,14,Topic 14: india tax budget increase fund economy propose reform fiscal provide growth country measure rate economic financial modi investment ensure expenditure
15,15,Topic 15: college department association camp programme state special engineering organise development public grievance union art president secretary national office member meeting
16,16,Topic 16: health job patient candidate person conduct hospital medical help university doctor test disability service institute foundation free senior course examination
17,17,Topic 17: delhi award chief_minister india national prime_minister congress president state launch march supreme_court gujarat leader mumbai assembly narendra_modi goa centre kill
18,18,Topic 18: bill party committee minister issue amendment member demand congress parliament lok_sabha power rajya_sabha opposition raise house cpi concern leader mp
19,19,Topic 19: scheme family household delhi group benefit survey include national poor country population programme provide cover state development income ensure woman
20,20,Topic 20: service data technology system digital online information access internet mobile user help launch work company platform provide india offer like
21,21,Topic 21: farmer scheme loan land bank subsidy crop housing agriculture account state house farm amount construction state_government beneficiary relief release eligible
22,22,Topic 22: food system beneficiary state price ration foodgrains ration_card public bill provide public_distribution supply rice family card cost fair_price_shop shop food_security
23,23,Topic 23: road city bus authority colony nagar water area traffic street resident waste due near board problem work train power public
24,24,Topic 24: police case arrest report person document accuse found victim woman allege complaint officer house crime city several work alleged fake
25,25,Topic 25: service vehicle registration cable charge number transport tv owner car cycle operator digital pay home user drive city drive_licence facility
26,26,Topic 26: card link detail number aadhaar_number post_office receive data include add ration_card department office check process case issue letter post person
27,27,Topic 27: railway note system exchange train security passenger airport ticket sell shop machine office arrangement web introduce soon accept city hour
28,28,Topic 28: india sector business company industry growth market job country indian create million expect high infrastructure add policy well finance enterprise
