,topic,topic_name
0,0,Topic 0: customer business company industry bank india market cable product enterprise offer finance digital small consumer bsnl rural base operator mobile
1,1,Topic 1: india country indian world modi million development economic prime_minister social big global technology society nation become economy change poor policy
2,2,Topic 2: road bus railway city train authority vehicle traffic passenger waste near express nagar public ticket due car area stand driver
3,3,Topic 3: privacy right information state right_privacy public supreme_court law individual article report data constitution part question concern indian comment fundamental_right private
4,4,Topic 4: house land area property water power housing resident city colony electricity rent provide slum member town street building association construction
5,5,Topic 5: woman film final music news event sport feature girl boy india team city result group image tv mumbai programme world
6,6,Topic 6: voter election vote candidate party constituency electoral_roll epic booth assembly officer election_commission polling voter_list number polling_station exercise poll campaign voting
7,7,Topic 7: act fund provide reform system india measure propose ensure state reduce provision committee direct public process economy expenditure decision well
8,8,Topic 8: bank account payment banking transaction cash customer note atm bank_account money deposit currency rbi branch open machine exchange opening insurance
9,9,Topic 9: like work problem well good change back great right different become issue start part fact old next yet big hand
10,10,Topic 10: bill congress minister amendment lok_sabha opposition rajya_sabha parliament party issue house power member question pass mp money_bill committee introduce discussion
11,11,Topic 11: card ration_card food ration system beneficiary state foodgrains supply link public shop rice minister fair_price_shop public_distribution smart_card dealer ration_shop bogus
12,12,Topic 12: mandatory order supreme_court court issue bench petition direct link aadhaar_number file benefit insist pan person service apply income_tax justice centre
13,13,Topic 13: district state meeting programme department direct minister complete various seed andhra_pradesh issue ensure collector officer link chief_minister babu present telangana
14,14,Topic 14: centre district card camp resident office corporation registration post_office ward enrolment city public collector akshaya special enrol issue ration_card person
15,15,Topic 15: uidai enrolment project data enrol resident uid aadhaar_number unique_identification_authority_india process number biometric identity npr issue agency state direct database country
16,16,Topic 16: student school college education department university teacher state candidate class camp special engineering principal institute child scholarship examination conduct national
17,17,Topic 17: household state survey population group national report family include benefit ministry income provide identify urban caste category base number commission
18,18,Topic 18: child health hospital work person help patient parent family social disability medical doctor organisation job woman school ngo number foundation
19,19,Topic 19: tax sector budget increase growth investment job fiscal rate infrastructure include expect capital income market high revenue financial add domestic
20,20,Topic 20: pension worker village district work payment pensioner nrega beneficiary labour wage scheme panchayat link block tribal visit welfare disburse villager
21,21,Topic 21: document detail passport certificate application submit online issue registration number register applicant process employee aadhaar_number office apply website verification form
22,22,Topic 22: farmer loan demand price state crop state_government cpi scheme party centre land agriculture chief_minister account leader protest farm relief subsidy
23,23,Topic 23: service data system digital online technology user internet help access provide work mobile launch company database device app web computer
24,24,Topic 24: delhi award chief_minister india gujarat national march supreme_court president mumbai case kerala prime_minister launch state high_court assembly jan present chennai
25,25,Topic 25: consumer lpg link bank_account cylinder subsidy district aadhaar_number customer bank gas direct_benefit_transfer petroleum oil_company gas_agency receive supply distributor lpg_cylinder refill
26,26,Topic 26: scheme beneficiary benefit subsidy launch poor bank_account system cash_transfer programme account state direct_benefit_transfer implement transfer cash family ensure implementation provide
27,27,Topic 27: police case arrest found person document complaint accuse house officer victim crime report woman fake work local city register district
