,topic,topic_name
0,0,Topic 0: centre card district camp office resident corporation registration ward issue enrolment public collector akshaya city person form enrol visit district_administration
1,1,Topic 1: college camp department association programme special final organise sport conduct state national office engineering art public road district woman school
2,2,Topic 2: bill party congress minister amendment demand lok_sabha issue opposition parliament rajya_sabha leader house power cpi member protest mp question committee
3,3,Topic 3: like work well change problem good back start city old hand left home different big become woman next money run
4,4,Topic 4: job employment candidate sector woman national add conduct caste expect enterprise centre commission industry examination survey group census number include
5,5,Topic 5: road railway bus vehicle train authority city traffic passenger airport car ticket shop driver near number transport public express drive
6,6,Topic 6: supreme_court mandatory court order petition bench issue privacy justice right_privacy benefit file person centre direct case right service state whether
7,7,Topic 7: farmer food state ration_card beneficiary price scheme family ration card system foodgrains bill crop minister provide public food_security loan household
8,8,Topic 8: india country indian world modi development poor work technology prime_minister big social policy nation economy change global village economic society
9,9,Topic 9: delhi award chief_minister india state national gujarat launch supreme_court march mumbai maharashtra person president prime_minister case present goa jan assembly
10,10,Topic 10: document detail passport submit certificate online application issue number aadhaar_number registration office register employee department apply applicant process form website
11,11,Topic 11: district state direct meeting department programme issue minister complete chief_minister various link implement ensure andhra_pradesh state_government secretary collector centre system
12,12,Topic 12: system public act ensure report information concern issue committee law security case state address several national like purpose project country
13,13,Topic 13: consumer lpg link subsidy bank_account cylinder district bank aadhaar_number customer scheme gas supply direct_benefit_transfer petroleum price oil_company gas_agency distributor lpg_cylinder
14,14,Topic 14: indian film part news right social_medium india web activist point group state feature community best culture brought different tv press
15,15,Topic 15: scheme beneficiary pension worker benefit bank_account subsidy nrega account payment launch poor programme cash_transfer wage state direct_benefit_transfer family labour bank
16,16,Topic 16: voter election vote constituency candidate electoral_roll booth assembly epic party officer election_commission polling voter_list polling_station exercise district electoral voting poll
17,17,Topic 17: student school child education teacher health parent patient college hospital help class medical scholarship doctor number aid university girl work
18,18,Topic 18: service digital data company system technology online user internet mobile offer provide customer platform access launch information plan india app
19,19,Topic 19: bank account customer payment banking transaction note cash branch atm bank_account deposit money currency machine rbi open exchange demonetisation transfer
20,20,Topic 20: uidai enrolment data resident enrol biometric project unique_identification_authority_india uid aadhaar_number card state process number post_office agency direct npr authentication population
21,21,Topic 21: land house area water village city resident power housing property work provide waste colony street electricity issue member construction rent
22,22,Topic 22: tax budget sector growth increase fund india propose investment financial business fiscal market rate high infrastructure income provide reform finance
23,23,Topic 23: police case arrest found document complaint person officer woman accuse work victim report city family crime house allege fake claimed
