,topic,topic_name
0,0,Topic 0: centre camp district resident office corporation ward collector public registration district_administration special city enrolment panchayat akshaya municipal card cable association
1,1,Topic 1: uidai enrolment data aadhaar_number project unique_identification_authority_india uid biometric enrol state database resident agency process number direct card identity issue population
2,2,Topic 2: scheme beneficiary state food family poor benefit provide system household subsidy delhi foodgrains food_security cash_transfer ensure person identify cover public_distribution
3,3,Topic 3: farmer loan land scheme housing property bank house crop subsidy amount agriculture account rent farm area construction relief available state
4,4,Topic 4: police case arrest document complaint accuse found report house person victim delhi officer woman register work crime district allege fake
5,5,Topic 5: card number work like shop waste hour problem private due issue centre office city sell receive person reason found back
6,6,Topic 6: delhi india award chief_minister national mumbai march launch film kerala indian news state prime_minister special gujarat president present best supreme_court
7,7,Topic 7: detail document passport online application certificate submit issue registration number apply applicant register form office aadhaar_number process employee website service
8,8,Topic 8: bill amendment minister committee parliament member act issue rajya_sabha lok_sabha house law propose question opposition provision legislation concern discussion introduce
9,9,Topic 9: child health work woman hospital help family village patient person member provide medical social group job disability like school parent
10,10,Topic 10: service technology digital data company system user internet access online mobile india provide information offer help cost platform plan industry
11,11,Topic 11: tax sector india growth budget increase economy fund country infrastructure investment high economic rate job business fiscal development provide propose
12,12,Topic 12: india country indian world like well become work social right part change big problem great good think fact full report
13,13,Topic 13: party congress state leader demand modi election cpi protest president promise price power candidate secretary policy address money decision political
14,14,Topic 14: student school college education teacher university state child class candidate department conduct scholarship final national principal institute sport engineering girl
15,15,Topic 15: pension scheme beneficiary worker village district payment nrega work bank_account pensioner account labour wage benefit scholarship panchayat welfare direct_benefit_transfer bank
16,16,Topic 16: bank account customer payment banking cash transaction note money branch atm bank_account deposit currency rbi exchange machine open financial_inclusion transfer
17,17,Topic 17: supreme_court mandatory court order privacy bench issue petition right case justice direct right_privacy file public benefit authority scheme centre person
18,18,Topic 18: consumer lpg link subsidy bank_account cylinder district aadhaar_number customer direct_benefit_transfer bank gas petroleum oil_company scheme lpg_cylinder gas_agency supply distributor account
19,19,Topic 19: district state department meeting direct issue minister link centre system programme complete card ration_card chief_minister implement officer andhra_pradesh various state_government
20,20,Topic 20: voter election vote electoral_roll constituency officer booth epic assembly survey exercise election_commission district polling voter_list number polling_station voting state electoral
21,21,Topic 21: road bus railway city train water colony authority area traffic vehicle nagar passenger street board resident power airport near public
