,topic,topic_name
0,0,Topic 0: consumer lpg link subsidy bank_account cylinder bank aadhaar_number customer scheme gas direct_benefit_transfer district petroleum oil_company gas_agency lpg_cylinder supply distributor price
1,1,Topic 1: uidai data project enrolment biometric unique_identification_authority_india uid database identity resident card agency issue enrol aadhaar_number authority concern authentication india number
2,2,Topic 2: report information right public social_medium privacy web group activist state medium society social hindu part point security surveillance read activity
3,3,Topic 3: work like problem due city issue receive left wait waste number card change found however face concern open continue lose
4,4,Topic 4: passport document certificate application submit apply issue applicant online candidate centre copy detail office process form verification conduct proof pan_card
5,5,Topic 5: police case arrest house document accuse person complaint family found victim report district officer city crime allege work register woman
6,6,Topic 6: supreme_court order mandatory court bench petition benefit issue justice privacy case right_privacy scheme file person direct state authority right whether
7,7,Topic 7: scheme beneficiary worker pension bank_account benefit payment nrega cash_transfer work account wage direct_benefit_transfer labour launch district link poor scholarship subsidy
8,8,Topic 8: film woman sport final music news feature event boy image girl result mumbai team tv top india national screen score
9,9,Topic 9: bank account customer payment banking transaction note cash money atm branch deposit bank_account currency rbi machine exchange open facility insurance
10,10,Topic 10: centre camp resident card office district corporation ward registration collector akshaya enrolment npr process work special register public panchayat municipal
11,11,Topic 11: bill amendment parliament committee house lok_sabha member rajya_sabha issue minister pass question law opposition introduce discussion act money_bill mp provision
12,12,Topic 12: post_office service cable customer charge post bsnl postal facility tv number box operator connection plastic ministry speed person special free
13,13,Topic 13: child health work person hospital help patient woman medical family disability doctor ngo parent service organisation village foundation member support
14,14,Topic 14: digital technology service system data internet online user access mobile platform work company help country well cost information launch app
15,15,Topic 15: food card ration_card system ration state beneficiary foodgrains public price family public_distribution supply food_security provide smart_card rice person shop cost
16,16,Topic 16: road bus railway city train water colony nagar authority area traffic board vehicle passenger resident street public near car power
17,17,Topic 17: property tax pan land act income_tax department return amount section rent record transaction etc owner housing vendor individual area card
18,18,Topic 18: delhi award india chief_minister state march national launch supreme_court kerala president gujarat case high_court prime_minister present maharashtra mumbai assembly person
19,19,Topic 19: tax budget increase propose fund fiscal india economy growth financial policy reform investment provide rate infrastructure act reduce service expenditure
20,20,Topic 20: student school college education department teacher university child class scholarship state camp institute programme principal engineering campus admission management art
21,21,Topic 21: state programme development poor national benefit scheme provide country survey household include population housing group ensure mission education launch urban
22,22,Topic 22: link detail aadhaar_number number registration department register employee system office online provide portal website vehicle issue launch commissioner process facility
23,23,Topic 23: voter election vote electoral_roll officer constituency booth epic assembly election_commission polling voter_list exercise polling_station district number voting card electoral address
24,24,Topic 24: district state complete enrolment direct centre programme seed cover process total department andhra_pradesh population collector launch various officer project enrol
25,25,Topic 25: sector company job business india market growth industry expect indian add airport enterprise gold opportunity high million consumer international country
26,26,Topic 26: farmer loan pension scheme pensioner bank subsidy land crop account farm agriculture release amount relief house eligible benefit credit list
27,27,Topic 27: india country indian world like work village well think become big great social good change large back right human believe
28,28,Topic 28: party congress modi election prime_minister country political corruption money leader candidate power state india public promise support interest delhi raise
29,29,Topic 29: meeting issue state demand minister secretary chief_minister association cpi protest president state_government party monday decision member centre implement committee department
