,topic,topic_name
0,0,Topic 0: digital service mobile customer provide cable cost internet mobile_phone pay facility payment access user network base bsnl offer tv transaction
1,1,Topic 1: consumer lpg link bank_account subsidy cylinder district aadhaar_number bank direct_benefit_transfer customer scheme gas petroleum oil_company supply gas_agency lpg_cylinder receive distributor
2,2,Topic 2: student school child education teacher class college candidate scholarship state university conduct examination test admission parent private number principal online
3,3,Topic 3: india country world development technology prime_minister work big modi state economy poor indian policy ensure initiative global national programme economic
4,4,Topic 4: voter election vote electoral_roll constituency candidate epic booth officer assembly election_commission card state polling voter_list polling_station exercise district number voting
5,5,Topic 5: tax budget fund increase propose act fiscal financial income reform growth rate provide investment reduce revenue direct sector economy expenditure
6,6,Topic 6: police delhi case arrest award india woman person national accuse mumbai kill district report crime document supreme_court victim gujarat march
7,7,Topic 7: sector business company job india industry market indian expect growth add gold employment enterprise country create opportunity city high consumer
8,8,Topic 8: district department state meeting system issue programme minister direct card link seed ration_card complete various chief_minister andhra_pradesh collector officer centre
9,9,Topic 9: child work village family woman like home start house person open help visit back local city parent vendor worker receive
10,10,Topic 10: farmer loan scheme land housing subsidy crop bank house area amount farm rent agriculture release construction benefit relief state_government centre
11,11,Topic 11: uidai enrolment project state uid aadhaar_number unique_identification_authority_india enrol biometric agency data resident number card post_office identity service process provide country
12,12,Topic 12: college health department hospital camp special association patient programme medical award organise national state district institute sport development engineering woman
13,13,Topic 13: party congress demand state centre leader chief_minister cpi secretary protest president decision delhi power price promise issue election committee policy
14,14,Topic 14: road railway bus city authority train colony area nagar traffic water vehicle board resident passenger street public near corporation express
15,15,Topic 15: document detail passport submit certificate application registration online number issue register aadhaar_number applicant employee verification apply website form process copy
16,16,Topic 16: supreme_court mandatory court order issue privacy bench petition justice file person case right_privacy right direct benefit law state insist whether
17,17,Topic 17: data work system database technology information online service user security company web help software launch create number app plan airport
18,18,Topic 18: film news social_medium world indian music medium community activist man feature language best group direct brought tv voice society festival
19,19,Topic 19: bank account customer banking note cash branch payment atm money transaction deposit bank_account currency rbi open machine opening exchange financial_inclusion
20,20,Topic 20: scheme beneficiary pension worker bank_account benefit payment nrega pensioner district work wage account launch direct_benefit_transfer cash_transfer welfare scholarship poor subsidy
21,21,Topic 21: centre district card camp resident office corporation issue registration enrolment ward public akshaya collector city enrol register collect npr release
22,22,Topic 22: food state family household provide survey beneficiary foodgrains food_security system scheme delhi bpl population poor person bill cost public public_distribution
23,23,Topic 23: bill amendment minister member parliament lok_sabha issue rajya_sabha committee house pass opposition question mp concern money_bill discussion ministry right law
24,24,Topic 24: like right india problem money indian well reason think high public part large mean great change fact several however report
